From: ,9/4/2017 6:00:00 AM,,To Date: ,9/11/2017 5:59:00 AM

"Game Type","Game ID","Location ID","Location","Game Category","Serial Number","Game Name","Standard Plays","Standard Value","Total Standard Value","Standard Cash Value","Standard Bonus Value","Free Credit Value","Free Bonus Value","Timed Plays","Timed Play Value","Timed Play Cash Value","Timed Play Bonus Value","Product Plays","Product Play Value","Free Plays","Free Play Value","Total Customer Plays","Total Customer Value"
"Games","101000022","872101","Jungle Golf","Air Hockey","1059","Air FX 1","0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0","0.0000","0.0000","0.0000","0","0.0000","0","0.0000","0","0.0000"
"Games","101000023","872101","Jungle Golf","Air Hockey","1061","Air FX 2","0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0","0.0000","0.0000","0.0000","0","0.0000","0","0.0000","0","0.0000"
"Games","101000033","872101","Jungle Golf","Chip/Card Redemption","1050007","Spongebob Squarepants Pineapple ","0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0","0.0000","0.0000","0.0000","0","0.0000","0","0.0000","0","0.0000"
"Games","101000018","872101","Jungle Golf","Chip/Card Redemption","12064.10.5","Wizard of Oz","0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0","0.0000","0.0000","0.0000","0","0.0000","0","0.0000","0","0.0000"
"Games","101000005","872101","Jungle Golf","Video","1261A","Cruisin Blast 1 ","0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0","0.0000","0.0000","0.0000","0","0.0000","0","0.0000","0","0.0000"
"Games","101000006","872101","Jungle Golf","Video","1294","Cruisin Blast 2","0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0","0.0000","0.0000","0.0000","0","0.0000","0","0.0000","0","0.0000"
"Games","101000028","872101","Jungle Golf","Video","10979","Dead Heat","0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0","0.0000","0.0000","0.0000","0","0.0000","0","0.0000","0","0.0000"
"Games","101000004","872101","Jungle Golf","Video","2981","Jurassic Park","0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0","0.0000","0.0000","0.0000","0","0.0000","0","0.0000","0","0.0000"
"Games","101000019","872101","Jungle Golf","Video","3048","Ms Pac Man Galaga Cocktail","0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0","0.0000","0.0000","0.0000","0","0.0000","0","0.0000","0","0.0000"
"Games","101000036","872101","Jungle Golf","Video","FCRS002","Razing Storm","0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0","0.0000","0.0000","0.0000","0","0.0000","0","0.0000","0","0.0000"
